Days(h);Date;Day;Depth;Counts;Variables;Class;Groups
0;13.07.;13-06 h;0;600;Microphytoplankton;PHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;12;0;Microphytoplankton;PHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;20;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;30;2170;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;50;0;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;65;1750;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;75;2615;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;0;650;Microphytoplankton;PHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;12;0;Microphytoplankton;PHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;20;2223;Microphytoplankton;PHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;30;20;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;50;0;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;75;1620;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
24;14.07.;14-06 h;0;210;Microphytoplankton;PHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;12;0;Microphytoplankton;PHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;20;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;30;1143;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;40;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;75;370;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;0;4400;Microphytoplankton;PHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;12;0;Microphytoplankton;PHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;20;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;30;6875;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;40;0;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;50;0;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;75;2940;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;0;1260;Microphytoplankton;PHYTOPLANKTON;SURFACE
36;14.07.;14-18 h;8;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;12;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;20;0;Microphytoplankton;PHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;30;1525;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;40;0;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;65;1715;Microphytoplankton;PHYTOPLANKTON;DEEP LAYER
